Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for, ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs)",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas,Year
Belgium,CANADA,MONTREAL,4.0,2.0,1.0,2.0,0.5,1116.0,909.0,753.0,0.8283828382838284,3.0,207.0,0.18498659517426275,1120.0,914.0,209.0,0.1861086375779163,2023
Belgium,CHILE,SANTIAGO DE CHILE,,,,,,40.0,22.0,8.0,0.36363636363636365,,18.0,0.45,40.0,22.0,18.0,0.45,2023
Belgium,CHINA,BEIJING,,,,,,17604.0,16035.0,6766.0,0.42195198004365453,1.0,1569.0,0.08912240840670264,17604.0,16036.0,1569.0,0.08912240840670264,2023
Belgium,CHINA,GUANGZHOU (CANTON),,,,,,1050.0,985.0,587.0,0.5959390862944163,,65.0,0.06190476190476191,1050.0,985.0,65.0,0.06190476190476191,2023
Belgium,CHINA,SHANGHAI,,,,,,1231.0,1149.0,675.0,0.587467362924282,,82.0,0.06661251015434606,1231.0,1149.0,82.0,0.06661251015434606,2023
Belgium,COLOMBIA,BOGOTA,,,,,,9.0,9.0,8.0,0.8888888888888888,,0.0,0.0,9.0,9.0,,,2023
Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,30.0,22.0,18.0,8.0,0.26666666666666666,28534.0,21257.0,14016.0,0.6593592698875664,3.0,7277.0,0.2550022777446823,28564.0,21282.0,7285.0,0.255014527251724,2023
Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,4.0,4.0,,,0.0,3424.0,2885.0,1520.0,0.5268630849220104,,539.0,0.1574182242990654,3428.0,2889.0,539.0,0.1572345390898483,2023
Belgium,COTE D'IVOIRE,ABIDJAN,3.0,1.0,,2.0,0.6666666666666666,3464.0,1869.0,912.0,0.48796147672552165,1.0,1594.0,0.46016166281755194,3467.0,1871.0,1596.0,0.46034035188924144,2023
Belgium,CROATIA,ZAGREB,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,2.0,2.0,1.0,0.3333333333333333,2023
Belgium,CUBA,HAVANA,,,,,,1336.0,836.0,278.0,0.33253588516746413,,500.0,0.37425149700598803,1336.0,836.0,500.0,0.37425149700598803,2023
Belgium,CZECH REPUBLIC,PRAGUE,,,,,,3.0,2.0,1.0,0.5,,1.0,0.3333333333333333,3.0,2.0,1.0,0.3333333333333333,2023
Belgium,EGYPT,CAIRO,,,,,,4340.0,3287.0,1231.0,0.3745056282324308,37.0,1053.0,0.24057573680603153,4340.0,3324.0,1053.0,0.24057573680603153,2023
Belgium,ETHIOPIA,ADDIS ABEBA,1.0,,,,,1565.0,981.0,217.0,0.22120285423037717,9.0,584.0,0.3710292249047014,1566.0,990.0,584.0,0.3710292249047014,2023
Belgium,FINLAND,HELSINKI,,,,,,4.0,2.0,2.0,1.0,,2.0,0.5,4.0,2.0,2.0,0.5,2023
Belgium,GERMANY,BERLIN,,,,,,3.0,2.0,2.0,1.0,,1.0,0.3333333333333333,3.0,2.0,1.0,0.3333333333333333,2023
Belgium,GREECE,ATHENS,,,,,,7.0,6.0,5.0,0.8333333333333334,,1.0,0.14285714285714285,7.0,6.0,1.0,0.14285714285714285,2023
